[2026-02-21T10:41:56Z] Watchdog gestartet (interval=60s)
[2026-02-21T10:41:56Z] Monitor nicht aktiv -> starte neu
Started Phase 1 monitor
- PID: 24908
- Log: logs/phase1_monitor_20260221T104156Z.log
- CSV: oracle_lag_log.csv
[2026-02-21T10:41:56Z] status=RESTARTED rows=1286 restarts=1 no_growth_cycles=0
[2026-02-21T10:42:33Z] Watchdog gestartet (interval=60s)
[2026-02-21T10:42:33Z] status=EXTERNAL_ACTIVE rows=1300 restarts=0 no_growth_cycles=0
[2026-02-21T15:27:08Z] Watchdog gestartet (interval=60s)
[2026-02-21T15:27:08Z] Watchdog gestartet (interval=60s)
[2026-02-21T15:27:08Z] status=RUNNING rows=7034 restarts=0 no_growth_cycles=0
[2026-02-21T15:27:08Z] status=RUNNING rows=7034 restarts=0 no_growth_cycles=0
[2026-02-21T15:28:08Z] status=RUNNING rows=7068 restarts=0 no_growth_cycles=0
[2026-02-21T15:28:08Z] status=RUNNING rows=7068 restarts=0 no_growth_cycles=0
[2026-02-21T15:29:08Z] status=RUNNING rows=7102 restarts=0 no_growth_cycles=0
[2026-02-21T15:29:08Z] status=RUNNING rows=7102 restarts=0 no_growth_cycles=0
[2026-02-21T15:30:08Z] status=RUNNING rows=7136 restarts=0 no_growth_cycles=0
[2026-02-21T15:30:08Z] status=RUNNING rows=7136 restarts=0 no_growth_cycles=0
[2026-02-21T15:31:08Z] status=RUNNING rows=7169 restarts=0 no_growth_cycles=0
[2026-02-21T15:31:08Z] status=RUNNING rows=7169 restarts=0 no_growth_cycles=0
[2026-02-21T15:32:09Z] status=RUNNING rows=7202 restarts=0 no_growth_cycles=0
[2026-02-21T15:32:09Z] status=RUNNING rows=7202 restarts=0 no_growth_cycles=0
[2026-02-21T15:33:09Z] status=RUNNING rows=7238 restarts=0 no_growth_cycles=0
[2026-02-21T15:33:09Z] status=RUNNING rows=7238 restarts=0 no_growth_cycles=0
[2026-02-21T15:34:09Z] status=RUNNING rows=7271 restarts=0 no_growth_cycles=0
[2026-02-21T15:34:09Z] status=RUNNING rows=7271 restarts=0 no_growth_cycles=0
[2026-02-21T15:35:09Z] status=RUNNING rows=7304 restarts=0 no_growth_cycles=0
[2026-02-21T15:35:09Z] status=RUNNING rows=7304 restarts=0 no_growth_cycles=0
[2026-02-21T15:36:09Z] status=RUNNING rows=7338 restarts=0 no_growth_cycles=0
[2026-02-21T15:36:09Z] status=RUNNING rows=7338 restarts=0 no_growth_cycles=0
[2026-02-21T15:37:09Z] status=RUNNING rows=7373 restarts=0 no_growth_cycles=0
[2026-02-21T15:37:09Z] status=RUNNING rows=7373 restarts=0 no_growth_cycles=0
[2026-02-21T15:38:09Z] status=RUNNING rows=7407 restarts=0 no_growth_cycles=0
[2026-02-21T15:38:09Z] status=RUNNING rows=7407 restarts=0 no_growth_cycles=0
[2026-02-21T15:39:09Z] status=RUNNING rows=7442 restarts=0 no_growth_cycles=0
[2026-02-21T15:39:09Z] status=RUNNING rows=7442 restarts=0 no_growth_cycles=0
[2026-02-21T15:40:09Z] status=RUNNING rows=7475 restarts=0 no_growth_cycles=0
[2026-02-21T15:40:09Z] status=RUNNING rows=7475 restarts=0 no_growth_cycles=0
[2026-02-21T15:41:09Z] status=RUNNING rows=7509 restarts=0 no_growth_cycles=0
[2026-02-21T15:41:09Z] status=RUNNING rows=7509 restarts=0 no_growth_cycles=0
[2026-02-21T15:42:09Z] status=RUNNING rows=7544 restarts=0 no_growth_cycles=0
[2026-02-21T15:42:09Z] status=RUNNING rows=7544 restarts=0 no_growth_cycles=0
[2026-02-21T15:43:09Z] status=RUNNING rows=7577 restarts=0 no_growth_cycles=0
[2026-02-21T15:43:09Z] status=RUNNING rows=7577 restarts=0 no_growth_cycles=0
[2026-02-21T15:44:09Z] status=RUNNING rows=7611 restarts=0 no_growth_cycles=0
[2026-02-21T15:44:09Z] status=RUNNING rows=7611 restarts=0 no_growth_cycles=0
[2026-02-21T15:45:09Z] status=RUNNING rows=7644 restarts=0 no_growth_cycles=0
[2026-02-21T15:45:09Z] status=RUNNING rows=7644 restarts=0 no_growth_cycles=0
[2026-02-21T15:46:09Z] status=RUNNING rows=7677 restarts=0 no_growth_cycles=0
[2026-02-21T15:46:09Z] status=RUNNING rows=7677 restarts=0 no_growth_cycles=0
[2026-02-21T15:47:09Z] status=RUNNING rows=7713 restarts=0 no_growth_cycles=0
[2026-02-21T15:47:09Z] status=RUNNING rows=7713 restarts=0 no_growth_cycles=0
[2026-02-21T15:48:09Z] status=RUNNING rows=7746 restarts=0 no_growth_cycles=0
[2026-02-21T15:48:09Z] status=RUNNING rows=7746 restarts=0 no_growth_cycles=0
[2026-02-21T15:49:09Z] status=RUNNING rows=7780 restarts=0 no_growth_cycles=0
[2026-02-21T15:49:09Z] status=RUNNING rows=7780 restarts=0 no_growth_cycles=0
[2026-02-21T15:50:09Z] status=RUNNING rows=7815 restarts=0 no_growth_cycles=0
[2026-02-21T15:50:09Z] status=RUNNING rows=7815 restarts=0 no_growth_cycles=0
